epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.84033,1.03083,3.93705,3.404,1.38757,0.00404,0.99353,0.1706,0.10983,0.00369,0.90808,0.14007,0.07626,0.7518,3.22098,3.21618,1.22801,0.00015,0.00015,0.00015
2,8.91676,0.92737,3.09543,2.86647,1.3087,0.00393,1,0.18955,0.10828,0.00357,0.90627,0.16933,0.09201,0.89939,3.22393,2.94448,1.39994,0.000309406,0.000309406,0.000309406
3,13.0048,1.02723,3.17322,2.58219,1.37585,0.87146,0.14289,0.2451,0.13686,0.86269,0.12903,0.17404,0.08158,1.13607,3.79725,2.69754,1.63411,0.000465595,0.000465595,0.000465595
4,17.0756,1.05596,3.07372,2.30126,1.3556,0.38459,0.39655,0.43204,0.24025,0.33772,0.29001,0.33892,0.15408,1.09852,3.96566,2.34654,1.60122,0.000618566,0.000618566,0.000618566
5,21.1034,1.01123,2.92894,2.15323,1.31972,0.47444,0.28799,0.38143,0.21299,0.44474,0.25384,0.28861,0.14346,1.16286,3.79269,2.45996,1.63738,0.00076832,0.00076832,0.00076832
6,25.131,1.00418,3.02278,2.06034,1.30758,0.25466,0.42341,0.28137,0.14912,0.19317,0.37792,0.20605,0.08902,1.32124,3.5667,2.81873,1.92041,0.000914856,0.000914856,0.000914856
7,29.1519,1.02577,2.9683,2.02833,1.3085,0.27451,0.53636,0.30148,0.161,0.22252,0.27783,0.15585,0.05534,1.21858,4.34161,3.16815,1.79554,0.00105817,0.00105817,0.00105817
8,33.2149,1.02905,3.01574,1.97952,1.32613,0.2431,0.4487,0.30584,0.15578,0.46886,0.13067,0.08953,0.02465,1.39755,5.76157,4.8448,1.93093,0.00116337,0.00116337,0.00116337
9,37.2482,1.06701,2.97047,1.92287,1.33293,0.22844,0.49105,0.27363,0.11209,0.21942,0.37318,0.19679,0.0766,1.52298,4.4942,4.95236,2.42921,0.001151,0.001151,0.001151
10,41.2638,1.08651,2.95155,1.91586,1.35843,0.24294,0.48089,0.27287,0.1408,0.18297,0.39401,0.19589,0.07927,1.48595,4.72887,3.27656,2.00376,0.00113863,0.00113863,0.00113863
11,45.3019,1.10949,2.9588,1.8356,1.36571,0.31172,0.43252,0.31337,0.15265,0.22173,0.34774,0.19387,0.0725,1.46928,4.27529,2.66874,1.96631,0.00112625,0.00112625,0.00112625
12,49.3007,1.05896,2.86207,1.72158,1.31574,0.53095,0.37764,0.33126,0.17577,0.47894,0.23806,0.18903,0.07794,1.3429,4.06269,2.48798,1.76203,0.00111388,0.00111388,0.00111388
13,53.3268,1.04985,2.84477,1.75352,1.3043,0.41986,0.50433,0.42446,0.22585,0.25982,0.22409,0.14535,0.0584,1.26852,4.27679,2.09183,1.6894,0.0011015,0.0011015,0.0011015
14,57.3222,1.01332,2.84226,1.72048,1.29695,0.42271,0.57448,0.45941,0.26205,0.34985,0.41401,0.30402,0.12773,1.1505,3.62831,2.0137,1.58759,0.00108913,0.00108913,0.00108913
15,61.3208,0.98262,2.74708,1.62881,1.28259,0.33788,0.54,0.43332,0.24841,0.29605,0.42552,0.307,0.15175,1.29749,3.49384,2.04992,1.69522,0.00107675,0.00107675,0.00107675
16,65.3625,0.99733,2.74496,1.61679,1.29883,0.35909,0.4927,0.41088,0.23626,0.32687,0.3799,0.2845,0.14057,1.35071,4.42448,2.04145,1.74182,0.00106437,0.00106437,0.00106437
17,69.3099,0.9833,2.73288,1.6045,1.27821,0.50137,0.58531,0.54143,0.30858,0.40065,0.45438,0.34554,0.14736,1.22572,3.80239,1.79115,1.64411,0.001052,0.001052,0.001052
18,73.2767,0.95001,2.59261,1.53338,1.24302,0.6759,0.66223,0.73998,0.50919,0.59936,0.55681,0.598,0.32469,0.92607,3.38784,1.58001,1.37364,0.00103962,0.00103962,0.00103962
19,77.2055,0.97541,2.61001,1.46216,1.26922,0.68341,0.66645,0.743,0.48614,0.60526,0.59515,0.61827,0.34549,0.96956,2.5563,1.42304,1.38987,0.00102725,0.00102725,0.00102725
20,81.1055,0.91126,2.62179,1.38806,1.24067,0.64562,0.60585,0.66121,0.42082,0.6291,0.50294,0.51917,0.27559,1.06401,2.93259,1.70393,1.5092,0.00101488,0.00101488,0.00101488
21,84.964,0.92131,2.70777,1.41018,1.26265,0.66348,0.68102,0.75472,0.54411,0.60294,0.53505,0.55934,0.28649,0.89972,2.95507,1.34775,1.31682,0.0010025,0.0010025,0.0010025
22,88.7538,0.89465,2.54678,1.38004,1.20885,0.63553,0.77539,0.77352,0.54164,0.59658,0.65894,0.64701,0.34353,0.89911,2.77549,1.21501,1.34847,0.000990125,0.000990125,0.000990125
23,92.665,0.90905,2.59945,1.43673,1.2226,0.72292,0.5981,0.72478,0.49098,0.67818,0.57192,0.63878,0.34063,0.96779,2.7022,1.37571,1.39683,0.00097775,0.00097775,0.00097775
24,96.5574,0.857,2.51781,1.32303,1.20006,0.80712,0.69507,0.80755,0.59596,0.74628,0.63815,0.69568,0.39434,0.82553,2.51222,1.1504,1.26204,0.000965375,0.000965375,0.000965375
25,100.393,0.85794,2.53574,1.30825,1.19736,0.71173,0.73461,0.79604,0.60125,0.71223,0.66695,0.71546,0.42472,0.82239,2.40974,1.14114,1.26864,0.000953,0.000953,0.000953
26,104.233,0.87604,2.44514,1.27466,1.21782,0.70751,0.75281,0.79547,0.57307,0.66554,0.68225,0.6989,0.41942,0.86197,2.30384,1.23041,1.28643,0.000940625,0.000940625,0.000940625
27,108.118,0.86704,2.49524,1.31962,1.21835,0.70513,0.63638,0.77178,0.57075,0.64538,0.51728,0.57229,0.34052,0.83958,2.71115,1.29745,1.29034,0.00092825,0.00092825,0.00092825
28,111.966,0.8261,2.35466,1.24577,1.18288,0.65985,0.63844,0.72168,0.50986,0.48638,0.49386,0.47115,0.23498,0.85973,3.04353,1.47691,1.30651,0.000915875,0.000915875,0.000915875
29,115.828,0.83762,2.36684,1.29328,1.19752,0.54909,0.6541,0.66224,0.46065,0.48986,0.5691,0.54209,0.31259,0.90916,2.41805,1.51822,1.35141,0.0009035,0.0009035,0.0009035
30,119.696,0.82843,2.40943,1.18886,1.19704,0.74686,0.75498,0.82601,0.53502,0.7094,0.70315,0.75289,0.44276,1.01598,2.11951,1.25532,1.38104,0.000891125,0.000891125,0.000891125
31,123.556,0.78965,2.30584,1.14113,1.14708,0.7127,0.71265,0.82566,0.61448,0.68746,0.64962,0.73572,0.47055,0.85164,2.05926,1.13379,1.29361,0.00087875,0.00087875,0.00087875
32,127.473,0.79426,2.20445,1.17098,1.15966,0.77804,0.69476,0.81717,0.5968,0.7233,0.58983,0.64678,0.37506,0.87152,2.53122,1.17749,1.31006,0.000866375,0.000866375,0.000866375
33,131.329,0.78961,2.23166,1.13359,1.14527,0.75796,0.78907,0.85514,0.64544,0.69182,0.6866,0.72261,0.43132,0.77033,2.23307,1.08998,1.23022,0.000854,0.000854,0.000854
34,135.239,0.75111,2.25923,1.11947,1.14507,0.78396,0.77168,0.85521,0.6561,0.72794,0.69366,0.73896,0.45596,0.74196,2.06985,1.08779,1.18865,0.000841625,0.000841625,0.000841625
35,139.126,0.78226,2.20267,1.11104,1.14972,0.76283,0.80609,0.86064,0.66474,0.75169,0.71497,0.78647,0.48962,0.71553,2.0739,0.99347,1.1688,0.00082925,0.00082925,0.00082925
36,142.977,0.76814,2.17574,1.10837,1.17064,0.84957,0.84745,0.91433,0.74056,0.76321,0.79242,0.81415,0.51011,0.66038,2.02063,0.83078,1.13259,0.000816875,0.000816875,0.000816875
37,146.797,0.76332,2.16584,1.08389,1.14173,0.70706,0.73448,0.80133,0.60389,0.58828,0.66488,0.65477,0.41028,0.75739,2.22948,1.21403,1.23541,0.0008045,0.0008045,0.0008045
38,150.722,0.77674,2.14486,1.03493,1.14833,0.81561,0.84228,0.90586,0.74255,0.79285,0.80527,0.85727,0.57021,0.66227,1.77871,0.81484,1.13052,0.000792125,0.000792125,0.000792125
39,154.518,0.73577,2.09572,1.00535,1.12544,0.79921,0.87287,0.90645,0.73428,0.8118,0.77255,0.84,0.54498,0.67385,1.88139,0.82252,1.13488,0.00077975,0.00077975,0.00077975
40,158.327,0.73066,2.05815,0.98234,1.10604,0.8385,0.89602,0.91867,0.7574,0.78897,0.83214,0.83217,0.53606,0.63318,1.85903,0.80282,1.10648,0.000767375,0.000767375,0.000767375
41,162.172,0.72818,2.03984,0.98391,1.11596,0.79912,0.81719,0.89323,0.7273,0.7734,0.69701,0.7837,0.48498,0.66395,1.87582,0.90093,1.12956,0.000755,0.000755,0.000755
42,166.035,0.69583,2.0524,0.9613,1.09731,0.7827,0.82079,0.89756,0.72536,0.76835,0.72793,0.81706,0.51442,0.7061,1.88966,0.8991,1.16179,0.000742625,0.000742625,0.000742625
43,169.807,0.74269,2.15226,0.99508,1.13989,0.86775,0.80676,0.91616,0.72715,0.8104,0.74545,0.80658,0.51592,0.69677,1.89666,0.85552,1.17719,0.00073025,0.00073025,0.00073025
44,173.634,0.70422,1.98353,0.93918,1.11362,0.77303,0.77218,0.87813,0.69224,0.80649,0.63585,0.77004,0.48831,0.6639,1.90332,0.97742,1.13775,0.000717875,0.000717875,0.000717875
45,177.498,0.67287,1.99762,0.89117,1.07418,0.83999,0.86634,0.9305,0.75314,0.83177,0.80091,0.85918,0.55816,0.65426,1.84139,0.75366,1.12223,0.0007055,0.0007055,0.0007055
46,181.304,0.66867,1.97947,0.91003,1.0763,0.88063,0.87881,0.94466,0.79066,0.8206,0.82855,0.85566,0.57213,0.60727,1.73045,0.70377,1.08903,0.000693125,0.000693125,0.000693125
