epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3655,0.95503,3.20371,4.51745,1.33591,0.24735,0.05094,0.01864,0.01145,0.33223,0.04315,0.0161,0.00906,0.99504,3.18448,3.54293,1.456,0.00331858,0.00331858,0.00331858
2,143.573,1.00314,3.00554,4.02901,1.35621,0.33706,0.08657,0.04986,0.02772,0.32957,0.07463,0.0386,0.02002,1.17563,3.3409,3.30236,1.59026,0.00658606,0.00658606,0.00658606
3,214.007,1.11141,3.13875,3.74445,1.39353,0.27749,0.1555,0.04035,0.0206,0.18343,0.13073,0.03105,0.01382,1.41125,4.0057,4.29516,1.84146,0.00978754,0.00978754,0.00978754
4,283.886,1.19435,3.27276,3.59118,1.43076,0.16978,0.14426,0.03769,0.01843,0.15685,0.11247,0.02573,0.0105,1.34342,3.77119,3.85676,1.70835,0.009703,0.009703,0.009703
5,355.001,1.16301,3.22315,3.40531,1.40552,0.29876,0.15769,0.0894,0.04407,0.27901,0.12875,0.06516,0.0297,1.44978,3.57926,3.28783,1.91189,0.009604,0.009604,0.009604
6,424.989,1.14905,3.16704,3.21705,1.38997,0.3426,0.18139,0.07915,0.04464,0.34446,0.15861,0.06531,0.03375,1.22484,3.25072,3.27126,1.58439,0.009505,0.009505,0.009505
7,492.245,1.12758,3.09528,3.08754,1.37719,0.25505,0.17799,0.1145,0.06801,0.2375,0.14884,0.08546,0.03876,1.17778,3.58998,2.96059,1.57965,0.009406,0.009406,0.009406
8,560.345,1.10571,3.06051,2.99397,1.364,0.23878,0.20398,0.11538,0.06509,0.22364,0.17793,0.09333,0.04665,1.15645,3.2411,2.89466,1.55826,0.009307,0.009307,0.009307
9,627.795,1.10494,3.05775,2.92826,1.36476,0.19675,0.24602,0.15343,0.09551,0.18896,0.2091,0.12133,0.0649,1.12463,3.13095,2.71826,1.52218,0.009208,0.009208,0.009208
10,695.28,1.08603,3.01165,2.85471,1.34935,0.25057,0.28058,0.16733,0.10418,0.23449,0.24956,0.13756,0.07492,1.06811,2.90777,2.58296,1.46726,0.009109,0.009109,0.009109
