epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5976,0.71651,3.02239,4.06314,1.25945,0.20211,0.31074,0.05117,0.03839,0.20049,0.26118,0.0456,0.03339,0.78753,2.52604,3.05228,1.4417,8.50297e-05,8.50297e-05,8.50297e-05
2,58.9721,0.74588,2.54101,3.45641,1.28757,0.15339,0.29116,0.11301,0.08443,0.14649,0.27407,0.09897,0.07427,0.79818,2.56458,2.68709,1.42971,0.000168676,0.000168676,0.000168676
3,87.0314,0.75333,2.53652,3.08235,1.28343,0.27198,0.29581,0.15626,0.11568,0.28791,0.26871,0.13874,0.10204,0.84199,2.5309,2.50203,1.48265,0.000250634,0.000250634,0.000250634
4,114.931,0.72982,2.48939,2.80137,1.25653,0.28244,0.29754,0.19481,0.14352,0.26996,0.2772,0.17225,0.12064,0.80738,2.49612,2.39361,1.47814,0.000248397,0.000248397,0.000248397
5,142.837,0.7233,2.42928,2.65302,1.2544,0.28901,0.38471,0.2386,0.18303,0.27783,0.36225,0.21105,0.15289,0.75699,2.36271,2.18955,1.39146,0.000245862,0.000245862,0.000245862
6,170.778,0.70864,2.43497,2.54781,1.24397,0.3119,0.40149,0.26489,0.20739,0.29913,0.38096,0.23778,0.17794,0.72782,2.41308,2.09304,1.3503,0.000243328,0.000243328,0.000243328
7,198.57,0.69039,2.35344,2.47516,1.22652,0.31668,0.37571,0.27293,0.21441,0.30152,0.35494,0.24005,0.16579,0.75298,2.506,2.08794,1.35731,0.000240794,0.000240794,0.000240794
8,226.397,0.69042,2.39745,2.41373,1.22764,0.26384,0.40981,0.30395,0.24423,0.24812,0.37948,0.26983,0.20589,0.69909,2.36625,2.03246,1.3209,0.000238259,0.000238259,0.000238259
9,254.239,0.6876,2.37092,2.36389,1.22121,0.38604,0.38779,0.30666,0.24273,0.3645,0.36055,0.27284,0.20004,0.71959,2.43329,1.99977,1.35566,0.000235725,0.000235725,0.000235725
10,282.126,0.67314,2.30547,2.29216,1.21323,0.31471,0.43681,0.32968,0.26344,0.29917,0.40322,0.28957,0.21423,0.69157,2.29393,1.96171,1.31505,0.00023319,0.00023319,0.00023319
11,309.96,0.6596,2.30772,2.26038,1.20331,0.3487,0.41907,0.32325,0.25966,0.33176,0.39056,0.28714,0.21924,0.72351,2.30455,1.93449,1.33326,0.000230656,0.000230656,0.000230656
12,337.87,0.6654,2.27796,2.22045,1.20423,0.36599,0.4245,0.33838,0.26493,0.31613,0.41574,0.29623,0.21662,0.69863,2.29652,1.89685,1.31607,0.000228122,0.000228122,0.000228122
13,365.636,0.64935,2.26401,2.18197,1.19695,0.37021,0.42681,0.36326,0.29281,0.35256,0.39732,0.32738,0.2394,0.68583,2.38915,1.82325,1.29658,0.000225587,0.000225587,0.000225587
14,393.301,0.64679,2.22371,2.14076,1.19152,0.33243,0.41272,0.35645,0.28411,0.30333,0.3774,0.30773,0.22253,0.68451,2.35568,1.85463,1.29246,0.000223053,0.000223053,0.000223053
